時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 2 	 4 	 7 	 20 	 23 	 5 	 34 	 5 	0
89年 1月	0	0	0	0	 3 	 1 	 9 	0	0
89年 2月	0	0	 1 	0	 2 	 1 	 12 	 1 	0
89年 3月	0	 1 	0	 1 	 1 	0	 4 	0	0
89年 4月	0	 2 	 1 	0	 1 	0	 1 	0	0
89年 5月	0	0	 1 	 1 	 2 	0	0	 1 	0
89年 6月	0	0	0	 2 	 1 	 1 	0	0	0
89年 7月	 1 	0	 1 	 5 	 3 	0	0	0	0
89年 8月	 1 	0	 1 	 6 	 1 	0	 1 	0	0
89年 9月	0	0	0	 1 	0	 1 	0	 1 	0
89年 10月	0	 1 	 1 	 1 	 5 	0	 4 	 1 	0
89年 11月	0	0	 1 	 2 	 2 	 1 	 1 	 1 	0
89年 12月	0	0	0	 1 	 2 	0	 2 	0	0
90年	 2 	 2 	 10 	 22 	 33 	 1 	 19 	 13 	0
90年 1月	0	0	 1 	 1 	 4 	0	0	 1 	0
90年 2月	0	0	0	0	 1 	0	0	 1 	0
90年 3月	0	0	0	0	 1 	0	 2 	 1 	0
90年 4月	 1 	0	0	0	 1 	0	 3 	0	0
90年 5月	0	0	 3 	0	 7 	0	 7 	 3 	0
90年 6月	0	0	0	 1 	 1 	0	 1 	0	0
90年 7月	0	0	0	 6 	 3 	 1 	 3 	 2 	0
90年 8月	0	0	0	 6 	 4 	0	 1 	 2 	0
90年 9月	0	 2 	 2 	0	 2 	0	 1 	0	0
90年 10月	0	0	 2 	 4 	 4 	0	0	0	0
90年 11月	0	0	 1 	 3 	 2 	0	0	 2 	0
90年 12月	 1 	0	 1 	 1 	 3 	0	 1 	 1 	0
91年	0	 3 	 7 	 23 	 31 	 2 	 32 	 20 	 1 
91年 1月	0	0	 1 	0	 1 	0	 1 	 2 	0
91年 2月	0	0	 1 	0	 3 	0	 1 	 1 	0
91年 3月	0	 1 	0	 6 	 4 	 1 	 6 	 3 	0
91年 4月	0	0	0	0	 3 	0	 4 	 3 	0
91年 5月	0	0	0	0	 3 	0	 2 	0	0
91年 6月	0	0	 1 	 2 	 1 	0	0	 1 	0
91年 7月	0	0	0	 6 	 1 	0	 1 	 1 	 1 
91年 8月	0	0	 1 	 7 	 5 	 1 	 2 	 1 	0
91年 9月	0	 1 	 2 	0	 6 	0	 3 	0	0
91年 10月	0	0	0	0	0	0	 5 	0	0
91年 11月	0	 1 	0	 1 	0	0	 2 	 2 	0
91年 12月	0	0	 1 	 1 	 4 	0	 5 	 6 	0
92年	 2 	 5 	 2 	 10 	 14 	 1 	 30 	 16 	0
92年 1月	0	0	0	0	 1 	0	 10 	0	0
92年 2月	0	0	0	0	 2 	 1 	 1 	0	0
92年 3月	0	0	0	0	0	0	 1 	 1 	0
92年 4月	0	0	0	0	 1 	0	 5 	 4 	0
92年 5月	0	 1 	 1 	0	 1 	0	 3 	 1 	0
92年 6月	 1 	0	0	0	0	0	 1 	0	0
92年 7月	 1 	0	 1 	 4 	 2 	0	0	 1 	0
92年 8月	0	 2 	0	 2 	 3 	0	 3 	 3 	0
92年 9月	0	0	0	 1 	0	0	 3 	 3 	0
92年 10月	0	 2 	0	 1 	0	0	0	 1 	0
92年 11月	0	0	0	 1 	 1 	0	 2 	 1 	0
92年 12月	0	0	0	 1 	 3 	0	 1 	 1 	0
93年	 2 	 2 	0	 71 	 14 	 1 	 19 	 28 	0
93年 1月	0	0	0	0	 1 	0	 1 	 2 	0
93年 2月	0	0	0	 5 	0	0	 5 	 2 	0
93年 3月	0	0	0	 1 	0	0	0	 3 	0
93年 4月	 1 	0	0	 5 	 2 	 1 	 2 	 2 	0
93年 5月	0	0	0	 1 	 2 	0	 1 	 2 	0
93年 6月	0	0	0	 30 	0	0	 1 	 1 	0
93年 7月	 1 	0	0	 7 	 2 	0	0	0	0
93年 8月	0	 2 	0	 4 	 2 	0	0	0	0
93年 9月	0	0	0	 4 	 1 	0	 1 	 2 	0
93年 10月	0	0	0	 8 	0	0	 2 	 2 	0
93年 11月	0	0	0	0	0	0	 1 	 4 	0
93年 12月	0	0	0	 6 	 4 	0	 5 	 8 	0
94年	0	0	 3 	 46 	 30 	 1 	 10 	 17 	0
94年 1月	0	0	0	0	 5 	0	 2 	 1 	0
94年 2月	0	0	 1 	 1 	0	0	 4 	 2 	0
94年 3月	0	0	 1 	 3 	 1 	0	0	0	0
94年 4月	0	0	0	 6 	 3 	0	0	0	0
94年 5月	0	0	0	 9 	 6 	0	0	 3 	0
94年 6月	0	0	0	 8 	0	0	0	0	0
94年 7月	0	0	0	 2 	 3 	0	 1 	 5 	0
94年 8月	0	0	0	 10 	 5 	0	 1 	 3 	0
94年 9月	0	0	0	 1 	 3 	 1 	0	 1 	0
94年 10月	0	0	 1 	 3 	 1 	0	 1 	0	0
94年 11月	0	0	0	 3 	 2 	0	 1 	0	0
94年 12月	0	0	0	0	 1 	0	0	 2 	0
95年	 1 	 1 	 2 	 59 	 32 	0	 5 	 23 	0
95年 1月	0	0	 1 	0	0	0	 1 	 3 	0
95年 2月	0	0	0	0	 4 	0	 1 	0	0
95年 3月	0	0	0	0	 1 	0	 1 	 1 	0
95年 4月	0	0	 1 	 3 	 4 	0	 2 	 1 	0
95年 5月	0	0	0	 3 	 2 	0	0	 5 	0
95年 6月	0	0	0	 8 	 4 	0	0	 4 	0
95年 7月	0	0	0	 17 	 3 	0	0	 2 	0
95年 8月	0	0	0	 11 	 2 	0	0	0	0
95年 9月	 1 	0	0	 6 	 4 	0	0	 2 	0
95年 10月	0	 1 	0	 6 	 4 	0	0	0	0
95年 11月	0	0	0	 2 	 3 	0	0	 2 	0
95年 12月	0	0	0	 3 	 1 	0	0	 3 	0
96年	0	0	 1 	 67 	 17 	0	 16 	 32 	0
96年 1月	0	0	0	 13 	0	0	0	0	0
96年 2月	0	0	 1 	 11 	 9 	0	 4 	 2 	0
96年 3月	0	0	0	 5 	 1 	0	0	 2 	0
96年 4月	0	0	0	 3 	0	0	 1 	 3 	0
96年 5月	0	0	0	 4 	 1 	0	0	0	0
96年 6月	0	0	0	 1 	 1 	0	 1 	0	0
96年 7月	0	0	0	 3 	0	0	 1 	 5 	0
96年 8月	0	0	0	 6 	 1 	0	 1 	 4 	0
96年 9月	0	0	0	 4 	 1 	0	 5 	 3 	0
96年 10月	0	0	0	 17 	 2 	0	 1 	 2 	0
96年 11月	0	0	0	0	0	0	0	 4 	0
96年 12月	0	0	0	0	 1 	0	 2 	 7 	0
97年	 1 	 2 	 1 	 47 	 25 	 1 	 10 	 43 	0
97年 1月	 1 	0	 1 	0	 1 	0	0	 7 	0
97年 2月	0	0	0	0	 2 	0	0	 8 	0
97年 3月	0	 1 	0	 1 	 4 	0	 2 	 3 	0
97年 4月	0	0	0	0	 6 	0	 1 	 1 	0
97年 5月	0	0	0	 2 	 1 	 1 	0	 5 	0
97年 6月	0	0	0	 2 	0	0	0	 1 	0
97年 7月	0	0	0	 6 	 5 	0	 1 	 7 	0
97年 8月	0	0	0	 15 	 1 	0	 2 	 4 	0
97年 9月	0	0	0	 14 	 3 	0	 2 	 3 	0
97年 10月	0	0	0	 3 	 2 	0	 2 	 1 	0
97年 11月	0	0	0	 4 	0	0	0	 2 	0
97年 12月	0	 1 	0	0	0	0	0	 1 	0
98年	0	 6 	 1 	 41 	 18 	 1 	 5 	 55 	0
98年 1月	0	0	0	 1 	 2 	0	0	 2 	0
98年 2月	0	0	0	 12 	0	0	0	 3 	0
98年 3月	0	 2 	0	 7 	0	0	 1 	 6 	0
98年 4月	0	0	0	 7 	0	 1 	0	 3 	0
98年 5月	0	0	0	 3 	 1 	0	 1 	 7 	0
98年 6月	0	 1 	0	 4 	 4 	0	 1 	0	0
98年 7月	0	0	0	 1 	 3 	0	0	 5 	0
98年 8月	0	 3 	0	 4 	 1 	0	 1 	 7 	0
98年 9月	0	0	0	 2 	 2 	0	0	 6 	0
98年 10月	0	0	 1 	0	 1 	0	0	 6 	0
98年 11月	0	0	0	0	 2 	0	 1 	 4 	0
98年 12月	0	0	0	0	 2 	0	0	 6 	0
99年	0	 2 	0	 5 	 12 	0	 2 	 47 	0
99年 1月	0	0	0	0	0	0	0	 2 	0
99年 2月	0	0	0	0	 2 	0	0	 6 	0
99年 3月	0	0	0	 2 	 2 	0	0	 4 	0
99年 4月	0	0	0	0	0	0	0	 3 	0
99年 5月	0	0	0	0	 1 	0	0	 3 	0
99年 6月	0	 1 	0	 1 	0	0	0	 7 	0
99年 7月	0	0	0	0	0	0	0	 6 	0
99年 8月	0	 1 	0	0	 2 	0	 1 	 1 	0
99年 9月	0	0	0	 1 	 1 	0	 1 	 3 	0
99年 10月	0	0	0	 1 	 2 	0	0	 2 	0
99年 11月	0	0	0	0	 2 	0	0	 7 	0
99年 12月	0	0	0	0	0	0	0	 3 	0
100年	0	 5 	0	 3 	 8 	0	 2 	 82 	0
100年 1月	0	 1 	0	 1 	 2 	0	0	 6 	0
100年 2月	0	0	0	0	0	0	0	 2 	0
100年 3月	0	 1 	0	 1 	 1 	0	0	 8 	0
100年 4月	0	0	0	0	 1 	0	0	 7 	0
100年 5月	0	0	0	0	0	0	0	 7 	0
100年 6月	0	0	0	0	 2 	0	 1 	 5 	0
100年 7月	0	 1 	0	0	 2 	0	0	 3 	0
100年 8月	0	0	0	 1 	0	0	0	 14 	0
100年 9月	0	 1 	0	0	0	0	0	 7 	0
100年 10月	0	0	0	0	0	0	 1 	 9 	0
100年 11月	0	0	0	0	0	0	0	 10 	0
100年 12月	0	 1 	0	0	0	0	0	 4 	0
101年	0	 16 	 1 	 1 	 3 	0	 1 	 127 	0
101年 1月	0	 1 	0	0	 2 	0	0	 8 	0
101年 2月	0	 1 	0	0	0	0	0	 9 	0
101年 3月	0	 1 	 1 	0	0	0	0	 8 	0
101年 4月	0	0	0	0	0	0	0	 9 	0
101年 5月	0	0	0	0	0	0	0	 14 	0
101年 6月	0	0	0	0	0	0	0	 14 	0
101年 7月	0	 1 	0	0	 1 	0	0	 14 	0
101年 8月	0	0	0	0	0	0	0	 16 	0
101年 9月	0	 2 	0	0	0	0	 1 	 5 	0
101年 10月	0	 2 	0	0	0	0	0	 5 	0
101年 11月	0	 4 	0	 1 	0	0	0	 13 	0
101年 12月	0	 4 	0	0	0	0	0	 12 	0
102年	0	 50 	 4 	 9 	 2 	0	 2 	 87 	0
102年 1月	0	 3 	 1 	0	0	0	0	 7 	0
102年 2月	0	 1 	0	0	 1 	0	0	 6 	0
102年 3月	0	 4 	0	 1 	0	0	0	 12 	0
102年 4月	0	 2 	 1 	 1 	0	0	0	 5 	0
102年 5月	0	 4 	0	0	0	0	 2 	 9 	0
102年 6月	0	 4 	0	 1 	0	0	0	 6 	0
102年 7月	0	 2 	0	 1 	0	0	0	 8 	0
102年 8月	0	 8 	0	 2 	0	0	0	 6 	0
102年 9月	0	 11 	0	0	 1 	0	0	 3 	0
102年 10月	0	 3 	0	0	0	0	0	 4 	0
102年 11月	0	 5 	 1 	 1 	0	0	0	 10 	0
102年 12月	0	 3 	 1 	 2 	0	0	0	 11 	0
103年	 1 	 69 	 6 	 10 	 1 	0	 1 	 116 	0
103年 1月	0	 2 	0	0	0	0	 1 	 18 	0
103年 2月	0	 6 	0	0	0	0	0	 11 	0
103年 3月	0	 5 	0	 1 	0	0	0	 7 	0
103年 4月	0	 8 	 2 	0	0	0	0	 7 	0
103年 5月	0	 4 	0	 1 	0	0	0	 10 	0
103年 6月	0	 3 	 1 	0	0	0	0	 9 	0
103年 7月	0	 4 	0	 1 	0	0	0	 9 	0
103年 8月	0	 7 	 1 	 2 	0	0	0	 4 	0
103年 9月	0	 9 	0	 2 	0	0	0	 11 	0
103年 10月	0	 8 	 2 	0	 1 	0	0	 10 	0
103年 11月	0	 8 	0	 1 	0	0	0	 10 	0
103年 12月	 1 	 5 	0	 2 	0	0	0	 10 	0
104年	 1 	 78 	 4 	 6 	0	0	0	 73 	0
104年 1月	0	 6 	0	0	0	0	0	 6 	0
104年 2月	0	 2 	0	0	0	0	0	 3 	0
104年 3月	0	 9 	0	0	0	0	0	 5 	0
104年 4月	0	 6 	0	 1 	0	0	0	 5 	0
104年 5月	0	 3 	0	 1 	0	0	0	 6 	0
104年 6月	0	 5 	0	 1 	0	0	0	 9 	0
104年 7月	0	 8 	 1 	 2 	0	0	0	 6 	0
104年 8月	0	 5 	 1 	 1 	0	0	0	 9 	0
104年 9月	0	 9 	 1 	0	0	0	0	 6 	0
104年 10月	 1 	 11 	0	0	0	0	0	 9 	0
104年 11月	0	 6 	0	0	0	0	0	 7 	0
